issue_id	path	collections	ext	name	series_name	volume	year	issue_no	confidence
27	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/006 - Batman 024 (2 Covers) (2013) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 024 (2 Covers)	Batman	-1	2013	24	0	75
28	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/005 - Batman 023 (2 Covers) (2013) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 023 (2 Covers)	Batman	-1	2013	23	0	75
29	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/002 - Batman 021 (2 Covers) (2013) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 021 (2 Covers)	Batman	-1	2013	21	0	75
30	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/021 - Batman 027 (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 027	Batman	-1	2014	27	0	75
31	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/010 - Batman 025 (2 Covers) (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 025 (2 Covers)	Batman	-1	2014	25	0	75
32	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/017 - Catwoman 025 (2014) (Digital) (Nahga-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Catwoman 025	Catwoman	-1	2014	25	0	75
33	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/008 - Batwing 025 (2014) (digital-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batwing 025	Batwing	-1	2014	25	0	75
34	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/004 - Batman 022 (2 Covers) (2013) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 022 (2 Covers)	Batman	-1	2013	22	0	75
35	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/016 - Birds of Prey 025 (2013) (Digital) (G85-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Birds of Prey 025	Birds of Prey	-1	2013	25	0	75
36	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/014 - Red Hood and the Outlaws 025 (2014) (Digital) (Nahga-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Red Hood and the Outlaws 025	Red Hood and the Outlaws	-1	2014	25	0	75
